sl.no,Pick_Time,Actual_Quantity,number_of_items_container,total_quantity_of_items_in_container,volume_of_items_present_in_container,Total_Weight_of_items_present_in_container,Height_of_item,Length_of_item,Width_of_item,weight_of_each_item
896,28.52,1,0,0,0,0,2.75,5.25,2.5,1.04
897,0.46,6,1,2,260.15625,4.46,8.5,2.5,2.5,0.4062
898,6.013,1,1,1,204.75,0.6875,8.5,2.5,2.5,0.4062
899,6.413,1,3,3,586.125,3.75,7,10,1,1.1
900,24.263,1,4,4,995.859375,2.525,6,7,10,3.5
901,9.927,1,12,14,1016.25,12.2975,1.5,6.25,5.25,0.875
902,12.13,1,0,0,0,0,2.75,5,2.75,1.2812
903,10.296,1,4,8,1066,5.9,5.5,8,6.5,2
904,19.15,1,0,0,0,0,7.25,8.25,2.5,0.125
905,14.933,3,1,1,169.3125,0.92,2.5,3.75,3.75,0.375
906,8.533,1,13,14,1653.328125,20.08,3,5,5,1.0625
907,3.937,2,7,18,1049.1875,5.9311,1.75,6.75,3.75,0.375
908,12.41,2,4,5,944.0625,5.3694,1,5.5,5.5,0.625
909,51.027,1,0,0,0,0,1.25,2.25,7,0.0156
910,8.717,2,8,10,694.723952,7.5587,1.25,4.5,4.5,0.1062
911,4.436,1,5,5,493.615125,11.5625,9.5,4,4,3.4875
912,23.734,1,0,0,0,0,3,11.5,4.25,1.84
913,12.597,1,15,20,1601.171875,20.5025,3,11.5,4.25,1.84
914,8.63,3,5,10,612.6563693,7.0587,3,11.5,4.25,1.84
915,8.194,1,3,3,258.0625,3.7,9.5,4,4.25,4
916,19.326,1,3,7,285.5375,1.3062,9.5,4,4,3.4875
917,20.29,1,3,3,308.21875,2.5325,1.75,9.75,2,0.6562
918,51.317,8,1,1,56.71875,0.4,2.48,3.15,3.15,0.3312
919,11.174,1,4,4,489.8625,3.1562,2.2,5.75,1.2,0.5
920,23.347,6,8,23,990.125,8.8663,2.5,4,4,0.3312
921,10.77,2,6,8,524,5.045,2,7.25,3.25,0.4375
922,16.39,1,5,7,655.125,10.4375,9.5,4,4,3.4875
923,16.75,4,7,9,1118.202964,14.2938,6.25,2.5,2.5,0.9
924,7.356,1,4,6,303.46875,3.0382,6,3.25,3.25,1.16
925,11.003,1,9,16,1873.140164,13.7325,1.8,4.5,4.5,0.55
926,37.036,1,2,2,176.5,2.04,10.5,4,4,4
